unit_id	source_path	cycle_group	order_index
atlID3v2	legacy/atlID3v2.pas		1
atlFLACfile	legacy/atlFLACfile.pas		2
atlAPEtag	legacy/atlAPEtag.pas		3
atlID3v1	legacy/atlID3v1.pas		4
atlMPEGplus	legacy/atlMPEGplus.pas		5
atlVorbisComment	legacy/atlVorbisComment.pas		6
atlWAVfile	legacy/atlWAVfile.pas		7
atlMonkey	legacy/atlMonkey.pas		8
atlMPEGaudio	legacy/atlMPEGaudio.pas		9
atlWMAfile	legacy/atlWMAfile.pas		10
atlCDAtrack	legacy/atlCDAtrack.pas		11
atlSpeex	legacy/atlSpeex.pas		12
atlDTS	legacy/atlDTS.pas		13
atlWAVPackfile	legacy/atlWAVPackfile.pas		14
atlMusepack	legacy/atlMusepack.pas		15
atlAACfile	legacy/atlAACfile.pas		16
atlFPLfile	legacy/atlFPLfile.pas		17
atlAC3	legacy/atlAC3.pas		18
atlOggVorbis	legacy/atlOggVorbis.pas		19
atlTTA	legacy/atlTTA.pas		20
atlOptimFROG	legacy/atlOptimFROG.pas		21
atlTwinVQ	legacy/atlTwinVQ.pas		22
