unit_id	source_path	target_path
atlID3v2	legacy/atlID3v2.pas	target/src/audio/id3v2.py
atlFLACfile	legacy/atlFLACfile.pas	target/src/audio/flacfile.py
atlAPEtag	legacy/atlAPEtag.pas	target/src/audio/apetag.py
atlID3v1	legacy/atlID3v1.pas	target/src/audio/id3v1.py
atlMPEGplus	legacy/atlMPEGplus.pas	target/src/audio/mpegplus.py
atlVorbisComment	legacy/atlVorbisComment.pas	target/src/audio/vorbiscomment.py
atlWAVfile	legacy/atlWAVfile.pas	target/src/audio/wavfile.py
atlMonkey	legacy/atlMonkey.pas	target/src/audio/monkey.py
atlMPEGaudio	legacy/atlMPEGaudio.pas	target/src/audio/mpegaudio.py
atlWMAfile	legacy/atlWMAfile.pas	target/src/audio/wmafile.py
atlCDAtrack	legacy/atlCDAtrack.pas	target/src/audio/cdatrack.py
atlSpeex	legacy/atlSpeex.pas	target/src/audio/speex.py
atlDTS	legacy/atlDTS.pas	target/src/audio/dts.py
atlWAVPackfile	legacy/atlWAVPackfile.pas	target/src/audio/wavpackfile.py
atlMusepack	legacy/atlMusepack.pas	target/src/audio/musepack.py
atlAACfile	legacy/atlAACfile.pas	target/src/audio/aacfile.py
atlFPLfile	legacy/atlFPLfile.pas	target/src/audio/fplfile.py
atlAC3	legacy/atlAC3.pas	target/src/audio/ac3.py
atlOggVorbis	legacy/atlOggVorbis.pas	target/src/audio/oggvorbis.py
atlTTA	legacy/atlTTA.pas	target/src/audio/tta.py
atlOptimFROG	legacy/atlOptimFROG.pas	target/src/audio/optimfrog.py
atlTwinVQ	legacy/atlTwinVQ.pas	target/src/audio/twinvq.py
